ComponenteCurricular;Eixo;UTE;SABER;APR
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Respeitar características físicas e subjetivas das pessoas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Identificar as diferentes formas de registro das memórias pessoais, familiares e escolares (fotos, músicas, narrativas, álbuns etc.)."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer diferentes formas de registro das identidades culturais, regionais e familiares que sejam múltiplas de geração a geração."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Criar diferentes formas de registro."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Valorizar as diferentes culturas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Identificar o direito à crença e à não crença como direito humano3 ."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer e respeitar as manifestações das culturas religiosas deístas e não deístas3 ."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Respeitar o direito da crença e não crença, bem como da existência das diferentes fontes de conhecimento religioso e científico3 ."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Identificar a influência da comunicação na vida cotidiana."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer as influências das diferentes comunicações (mídia, família e instituições) nas diferentes áreas da vida."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Posicionar-se de forma crítica em relação aos diferentes aspectos da comunicação (mídias, família e instituições)."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Valorizar a liberdade de expressão voltada à construção do respeito, à empatia e aos direitos humanos."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Identificar as diferentes formas de afeto."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Respeitar as diferentes manifestações afetivas."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer as diferentes formas de preconceito e discriminação contra a diversidade sexual."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Conhecer e compreender a diversidade sexual e combater as violências, discriminações, os preconceitos e fobias em relação à população LGBTTQI+."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Conhecer e valorizar a história das mulheres da sua família, escola e comunidade."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Apontar a importância da mulher no contexto: familiar, social e histórico."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer e posicionar- se contrário às desigualdades de gênero na sociedade."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Identificar e respeitar as diferentes relações de gênero e afetividade presentes no meio social."
"Cultura de Paz";"O educando — Cultura de Paz e Educação em Direitos Humanos";"IDENTIDADES E ALTERIDADES";"Valorizar e respeitar as diferentes construções identitárias, reconhecendo-as como partes de si mesmo e que se estabelecem na presença das diferenças e do outro (alter). (continuação) Reconhecer que o nome é parte da identificação e diferenciação das pessoas.";"Reconhecer a sexualidade humana em seus aspectos sociais, culturais, emocionais e a valorização da afetividade."
